"Var1"	"Var2"	"value"
"k__Bacteria.p__Actinobacteria"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Bacteroidetes"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Deferribacteres"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Proteobacteria"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__TM7"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Verrucomicrobia"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Deferribacteres.c__Deferribacteres"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Bacilli"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Clostridia"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__TM7.c__TM7.3"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__TM7.c__TM7.3.o__CW040"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae."	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__TM7.c__TM7.3.o__CW040.f__F16"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae"	"scaffold_5235"	0.885714285714286
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia"	"scaffold_5235"	0.885714285714286
