"Var1"	"Var2"	"value"
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia"	"scaffold_1762"	-0.942857142857143
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia.s__"	"scaffold_1762"	-0.942857142857143
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.g__.s__"	"scaffold_1762"	-0.942857142857143
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__"	"scaffold_1762"	-0.942857142857143
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__"	"scaffold_1762"	-0.942857142857143
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__.s__"	"scaffold_1762"	-0.942857142857143
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12.s__"	"scaffold_1762"	-0.942857142857143
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__.s__"	"scaffold_1762"	-0.942857142857143
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter.s__"	"scaffold_1762"	-0.942857142857143
"k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum.s__schaedleri"	"scaffold_1762"	-0.942857142857143
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__"	"scaffold_1762"	-0.942857142857143
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__"	"scaffold_1762"	-0.942857142857143
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__"	"scaffold_1762"	-0.942857142857143
